%time Wind Power_wind
0.607 10.45141 8030.90041762
0.608 10.45141 8030.47954679
0.609 10.45141 8030.05265963
0.61 10.45141 8029.62014853
0.611 10.45141 8029.1824116
0.612 10.45141 8028.73985221
0.613 10.45141 8028.29287855
0.614 10.45141 8027.84190325
0.615 10.45141 8027.38734285
0.616 10.45141 8026.92961744
0.617 10.45141 8026.46915015
0.618 10.45141 8026.00636674
0.619 10.45141 8025.54169515
0.62 10.45141 8025.07556503
0.621 10.45141 8024.6084073
0.622 10.45141 8024.14065372
0.623 10.45141 8023.67273644
0.624 10.45141 8023.20508753
0.625 10.45141 8022.73813857
0.626 10.45141 8022.27232023
0.627 10.45141 8021.80806177
0.628 10.45141 8021.3457907
0.629 10.45141 8020.88593228
0.63 10.45141 8020.42890915
0.631 10.45141 8019.97514092
0.632 10.45141 8019.52504372
0.633 10.45141 8019.07902985
0.634 10.45141 8018.63750737
0.635 10.45141 8018.20087973
0.636 10.45141 8017.76954536
0.637 10.45141 8017.34389734
0.638 10.45141 8016.92432306
0.639 10.45141 8016.51120379
0.64 10.45141 8016.10491444
0.641 10.45141 8015.70582316
0.642 10.45141 8015.31429107
0.643 10.45141 8014.93067193
0.644 10.45141 8014.55531182
0.645 10.45141 8014.18854891
0.646 10.45141 8013.83071314
0.647 10.45141 8013.48212598
0.648 10.45141 8013.14310016
0.649 10.45141 8012.81393945
0.65 10.45141 8012.49493843
0.651 10.45141 8012.18638226
0.652 10.45141 8011.88854648
0.653 10.45141 8011.60169683
0.654 10.45141 8011.32608909
0.655 10.45141 8011.06196885
0.656 10.45141 8010.80957142
0.657 10.45141 8010.56912168
0.658 10.45141 8010.3408339
0.659 10.45141 8010.12491172
0.66 10.45141 8009.92154793
0.661 10.45141 8009.73092448
0.662 10.45141 8009.55321235
0.663 10.45141 8009.3885715
0.664 10.45141 8009.23715081
0.665 10.45141 8009.09908805
0.666 10.45141 8008.97450982
0.667 10.45141 8008.86353161
0.668 10.45141 8008.76625768
0.669 10.45141 8008.68278118
0.67 10.45141 8008.61318411
0.671 10.45141 8008.55753733
0.672 10.45141 8008.51590066
0.673 10.45141 8008.48832291
0.674 10.45141 8008.47484192
0.675 10.45141 8008.47548465
0.676 10.45141 8008.49026729
0.677 10.45141 8008.51919531
0.678 10.45141 8008.5622636
0.679 10.45141 8008.61945656
0.68 10.45141 8008.69074825
0.681 10.45141 8008.7761025
0.682 10.45141 8008.87547307
0.683 10.45141 8008.98880379
0.684 10.45141 8009.11602873
0.685 10.45141 8009.25707235
0.686 10.45141 8009.41184969
0.687 10.45141 8009.58026656
0.688 10.45141 8009.7622197
0.689 10.45141 8009.95759703
0.69 10.45141 8010.16627779
0.691 10.45141 8010.3881328
0.692 10.45141 8010.62302465
0.693 10.45141 8010.87080793
0.694 10.45141 8011.13132946
0.695 10.45141 8011.40442851
0.696 10.45141 8011.68993705
0.697 10.45141 8011.98767999
0.698 10.45141 8012.2974754
0.699 10.45141 8012.61913481
0.7 10.45141 8012.95246341
0.701 10.45141 8013.29726031
0.702 10.45141 8013.65331884
0.703 10.45141 8014.02042677
0.704 10.45141 8014.39836657
0.705 10.45141 8014.7869157
0.706 10.45141 8015.18584684
0.707 10.45141 8015.5949282
0.708 10.45141 8016.01392373
0.709 10.45141 8016.44259344
0.71 10.45141 8016.88069361
0.711 10.45141 8017.32797711
0.712 10.45141 8017.78419363
0.713 10.45141 8018.24908996
0.714 10.45141 8018.72241023
0.715 10.45141 8019.20389621
0.716 10.45141 8019.69328751
0.717 10.45141 8020.1903219
0.718 10.45141 8020.69473552
0.719 10.45141 8021.20626317
0.72 10.45141 8021.72463849
0.721 10.45141 8022.24959428
0.722 10.45141 8022.78086271
0.723 10.45141 8023.31817554
0.724 10.45141 8023.86126439
0.725 10.45141 8024.40986094
0.726 10.45141 8024.96369716
0.727 10.45141 8025.52250554
0.728 10.45141 8026.08601929
0.729 10.45141 8026.65397258
0.73 10.45141 8027.22610071
0.731 10.45141 8027.8021403
0.732 10.45141 8028.38182955
0.733 10.45141 8028.96490835
0.734 10.45141 8029.55111851
0.735 10.45141 8030.14020391
0.736 10.45141 8030.73191068
0.737 10.45141 8031.32598736
0.738 10.45141 8031.92218508
0.739 10.45141 8032.52025766
0.74 10.45141 8033.11996179
0.741 10.45141 8033.72105717
0.742 10.45141 8034.32330661
0.743 10.45141 8034.92647617
0.744 10.45141 8035.5303353
0.745 10.45141 8036.13465689
0.746 10.45141 8036.73921744
0.747 10.45141 8037.3437971
0.748 10.45141 8037.9481798
0.749 10.45141 8038.55215328
0.75 10.45141 8039.15550924
0.751 10.45141 8039.75804332
0.752 10.45141 8040.35955524
0.753 10.45141 8040.9598488
0.754 10.45141 8041.55873195
0.755 10.45141 8042.15601682
0.756 10.45141 8042.75151977
0.757 10.45141 8043.3450614
0.758 10.45141 8043.93646659
0.759 10.45141 8044.52556448
0.76 10.45141 8045.11218853
0.761 10.45141 8045.69617648
0.762 10.45141 8046.27737035
0.763 10.45141 8046.85561646
0.764 10.45141 8047.43076538
0.765 10.45141 8048.00267195
0.766 10.45141 8048.57119521
0.767 10.45141 8049.13619838
0.768 10.45141 8049.69754887
0.769 10.45141 8050.25511817
0.77 10.45141 8050.80878185
0.771 10.45141 8051.3584195
0.772 10.45141 8051.90391466
0.773 10.45141 8052.44515478
0.774 10.45141 8052.98203118
0.775 10.45141 8053.51443891
0.776 10.45141 8054.04227677
0.777 10.45141 8054.56544715
0.778 10.45141 8055.08385605
0.779 10.45141 8055.59741292
0.78 10.45141 8056.1060306
