%time Wind Power_wind Frd
1612 10.203101308 8724.15239944 2.64180464395
1613 10.203101308 8724.96952342 2.64802167122
1614 10.203101308 8725.78990518 2.65426345487
1615 10.203101308 8726.61344903 2.66052926684
1616 10.203101308 8727.44005889 2.66681837612
1617 10.203101308 8728.26963831 2.67313004878
1618 10.203101308 8729.10209045 2.67946354812
1619 10.203101308 8729.93731812 2.68581813469
1620 10.203101308 8730.77522379 2.69219306643
1621 10.203101308 8731.6157096 2.69858759872
1622 10.203101308 8732.45867735 2.7050009845
1623 10.203101308 8733.30402854 2.7114324743
1624 10.203101308 8734.15166435 2.71788131636
1625 10.203101308 8735.00148568 2.72434675672
1626 10.203101308 8735.85339317 2.7308280393
1627 10.203101308 8736.70728715 2.73732440596
1628 10.203101308 8737.56306773 2.74383509661
1629 10.203101308 8738.42063475 2.75035934932
1630 10.203101308 8739.27988782 2.75689640033
1631 10.203101308 8740.14072635 2.76344548421
1632 10.203101308 8741.0030495 2.77000583391
1633 10.203101308 8741.86675624 2.77657668086
1634 10.203101308 8742.73174538 2.78315725504
1635 10.203101308 8743.59791551 2.78974678508
1636 10.203101308 8744.46516508 2.79634449833
1637 10.203101308 8745.33339237 2.80294962097
1638 10.203101308 8746.20249552 2.80956137807
1639 10.203101308 8747.07237253 2.8161789937
1640 10.203101308 8747.9429213 2.82280169099
1641 10.203101308 8748.81403959 2.82942869226
1642 10.203101308 8749.68562508 2.83605921903
1643 10.203101308 8750.55757536 2.8426924922
1644 10.203101308 8751.42978793 2.84932773205
1645 10.203101308 8752.30216024 2.85596415839
1646 10.203101308 8753.17458967 2.8626009906
1647 10.203101308 8754.04697358 2.86923744776
1648 10.203101308 8754.91920927 2.8758727487
1649 10.203101308 8755.79119405 2.8825061121
1650 10.203101308 8756.66282519 2.88913675656
1651 10.203101308 8757.53399999 2.89576390072
1652 10.203101308 8758.40461574 2.90238676332
1653 10.203101308 8759.27456977 2.90900456329
1654 10.203101308 8760.14375945 2.91561651983
1655 10.203101308 8761.01208217 2.92222185252
1656 10.203101308 8761.87943541 2.92881978137
1657 10.203101308 8762.74571671 2.93540952694
1658 10.203101308 8763.61082368 2.94199031039
1659 10.203101308 8764.47465403 2.94856135359
1660 10.203101308 8765.33710558 2.9551218792
1661 10.203101308 8766.19807625 2.96167111077
1662 10.203101308 8767.05746409 2.96820827279
1663 10.203101308 8767.9151673 2.97473259078
1664 10.203101308 8768.77108422 2.98124329142
1665 10.203101308 8769.62511333 2.98773960258
1666 10.203101308 8770.47715331 2.99422075343
1667 10.203101308 8771.327103 3.00068597453
1668 10.203101308 8772.17486144 3.00713449789
1669 10.203101308 8773.02032788 3.01356555707
1670 10.203101308 8773.86340177 3.01997838728
1671 10.203101308 8774.7039828 3.02637222542
1672 10.203101308 8775.54197087 3.0327463102
1673 10.203101308 8776.37726616 3.03909988221
1674 10.203101308 8777.20976908 3.04543218401
1675 10.203101308 8778.03938034 3.0517424602
1676 10.203101308 8778.86600089 3.0580299575
1677 10.203101308 8779.689532 3.06429392486
1678 10.203101308 8780.50987522 3.07053361352
1679 10.203101308 8781.32693244 3.07674827708
1680 10.203101308 8782.14060586 3.0829371716
1681 10.203101308 8782.95079798 3.08909955571
1682 10.203101308 8783.7574117 3.09523469061
1683 10.203101308 8784.56035024 3.10134184024
1684 10.203101308 8785.35951719 3.10742027129
1685 10.203101308 8786.15481652 3.11346925335
1686 10.203101308 8786.94615258 3.1194880589
1687 10.203101308 8787.73343013 3.12547596349
1688 10.203101308 8788.51655433 3.13143224574
1689 10.203101308 8789.29543074 3.13735618747
1690 10.203101308 8790.06996538 3.14324707374
1691 10.203101308 8790.84006469 3.14910419295
1692 10.203101308 8791.60563556 3.15492683694
1693 10.203101308 8792.36658533 3.16071430102
1694 10.203101308 8793.12282183 3.16646588408
1695 10.203101308 8793.87425337 3.17218088866
1696 10.203101308 8794.62078872 3.17785862104
1697 10.203101308 8795.36233717 3.18349839127
1698 10.203101308 8796.09880852 3.18909951332
1699 10.203101308 8796.8301131 3.1946613051
1700 10.203101308 8797.55616174 3.20018308855
1701 10.203101308 8798.27686584 3.20566418973
1702 10.203101308 8798.99213734 3.21110393886
1703 10.203101308 8799.70188872 3.21650167046
1704 10.203101308 8800.40603306 3.22185672334
1705 10.203101308 8801.104484 3.22716844076
1706 10.203101308 8801.79715577 3.23243617043
1707 10.203101308 8802.48396321 3.23765926462
1708 10.203101308 8803.16482176 3.24283708025
1709 10.203101308 8803.83964747 3.24796897893
1710 10.203101308 8804.50835703 3.25305432702
1711 10.203101308 8805.17086777 3.25809249578
1712 10.203101308 8805.82709765 3.26308286133
1713 10.203101308 8806.4769653 3.26802480482
1714 10.203101308 8807.12039 3.27291771244
1715 10.203101308 8807.75729171 3.27776097552
1716 10.203101308 8808.38759109 3.28255399059
1717 10.203101308 8809.01120947 3.28729615944
1718 10.203101308 8809.62806889 3.29198688922
1719 10.203101308 8810.23809211 3.29662559246
1720 10.203101308 8810.84120258 3.30121168719
1721 10.203101308 8811.43732452 3.30574459698
1722 10.203101308 8812.02638285 3.31022375101
1723 10.203101308 8812.60830326 3.31464858413
1724 10.203101308 8813.18301219 3.31901853695
1725 10.203101308 8813.75043684 3.32333305589
1726 10.203101308 8814.31050518 3.32759159323
1727 10.203101308 8814.86314596 3.33179360722
1728 10.203101308 8815.40828873 3.33593856209
1729 10.203101308 8815.94586383 3.34002592817
1730 10.203101308 8816.47580241 3.3440551819
1731 10.203101308 8816.99803643 3.34802580593
1732 10.203101308 8817.51249867 3.35193728918
1733 10.203101308 8818.01912275 3.35578912688
1734 10.203101308 8818.51784312 3.35958082064
1735 10.203101308 8819.0085951 3.36331187854
1736 10.203101308 8819.49131482 3.36698181514
1737 10.203101308 8819.96593932 3.37059015159
1738 10.203101308 8820.43240648 3.37413641565
1739 10.203101308 8820.89065508 3.37762014179
